date,code,name,stage,reason
2026-07-18,1909,日本ドライケミカル,TOB疑い,46営業日前に単日+21%の急騰後、変動率が平常時の19%に急低下(公開買付/M&A等で価格が固定されている疑い・要確認)
2026-07-18,3480,ジェイ・エス・ビー,TOB疑い,直近20営業日の変動率が、それ以前60営業日の1%まで持続的に低下(単日ジャンプは観測窓内で未検出だが、MBO/TOB等で価格が固定されている疑い・要確認)
2026-07-18,8283,ＰＡＬＴＡＣ,TOB疑い,47営業日前に単日+17%の急騰後、変動率が平常時の27%に急低下(公開買付/M&A等で価格が固定されている疑い・要確認)
2026-07-18,1407,ウエストホールディングス,リスク幅,リスク幅9.9%が上限8%超
2026-07-18,325A,ＴＥＮＴＩＡＬ,リスク幅,リスク幅9.9%が上限8%超
2026-07-18,3697,ＳＨＩＦＴ,リスク幅,リスク幅9.7%が上限8%超
2026-07-18,3994,マネーフォワード,リスク幅,リスク幅10.2%が上限8%超
2026-07-18,4187,大阪有機化学工業,リスク幅,リスク幅10.8%が上限8%超
2026-07-18,4259,エクサウィザーズ,リスク幅,リスク幅14.5%が上限8%超
2026-07-18,4443,Ｓａｎｓａｎ,リスク幅,リスク幅9.0%が上限8%超
2026-07-18,4889,レナサイエンス,リスク幅,リスク幅14.7%が上限8%超
2026-07-18,5074,テスホールディングス,リスク幅,リスク幅19.4%が上限8%超
2026-07-18,6146,ディスコ,高ボラ除外,VI代理>30かつ前夜SOX非反発のため値がさ大型を新規候補から除外
2026-07-18,6323,ローツェ,リスク幅,リスク幅15.4%が上限8%超
2026-07-18,6474,不二越,リスク幅,リスク幅10.3%が上限8%超
2026-07-18,6532,ベイカレント,リスク幅,リスク幅8.6%が上限8%超
2026-07-18,6617,東光高岳,リスク幅,リスク幅9.7%が上限8%超
2026-07-18,6814,古野電気,リスク幅,リスク幅9.1%が上限8%超
2026-07-18,6857,アドバンテスト,高ボラ除外,VI代理>30かつ前夜SOX非反発のため値がさ大型を新規候補から除外
2026-07-18,6920,レーザーテック,高ボラ除外,VI代理>30かつ前夜SOX非反発のため値がさ大型を新規候補から除外
2026-07-18,8035,東京エレクトロン,高ボラ除外,VI代理>30かつ前夜SOX非反発のため値がさ大型を新規候補から除外
2026-07-18,9984,ソフトバンクグループ,高ボラ除外,VI代理>30かつ前夜SOX非反発のため値がさ大型を新規候補から除外
2026-07-18,4819,デジタルガレージ,セクター分散,同一業種(情報・通信業)は2銘柄まで → 次点
2026-07-20,1909,日本ドライケミカル,TOB疑い,46営業日前に単日+21%の急騰後、変動率が平常時の19%に急低下(公開買付/M&A等で価格が固定されている疑い・要確認)
2026-07-20,3480,ジェイ・エス・ビー,TOB疑い,直近20営業日の変動率が、それ以前60営業日の1%まで持続的に低下(単日ジャンプは観測窓内で未検出だが、MBO/TOB等で価格が固定されている疑い・要確認)
2026-07-20,8283,ＰＡＬＴＡＣ,TOB疑い,47営業日前に単日+17%の急騰後、変動率が平常時の27%に急低下(公開買付/M&A等で価格が固定されている疑い・要確認)
2026-07-20,1407,ウエストホールディングス,リスク幅,リスク幅9.9%が上限8%超
2026-07-20,325A,ＴＥＮＴＩＡＬ,リスク幅,リスク幅9.9%が上限8%超
2026-07-20,3697,ＳＨＩＦＴ,リスク幅,リスク幅9.7%が上限8%超
2026-07-20,3994,マネーフォワード,リスク幅,リスク幅10.2%が上限8%超
2026-07-20,4187,大阪有機化学工業,リスク幅,リスク幅10.8%が上限8%超
2026-07-20,4259,エクサウィザーズ,リスク幅,リスク幅14.5%が上限8%超
2026-07-20,4443,Ｓａｎｓａｎ,リスク幅,リスク幅9.0%が上限8%超
2026-07-20,4889,レナサイエンス,リスク幅,リスク幅14.7%が上限8%超
2026-07-20,5074,テスホールディングス,リスク幅,リスク幅19.4%が上限8%超
2026-07-20,6146,ディスコ,高ボラ除外,VI代理>30かつ前夜SOX非反発のため値がさ大型を新規候補から除外
2026-07-20,6323,ローツェ,リスク幅,リスク幅15.4%が上限8%超
2026-07-20,6474,不二越,リスク幅,リスク幅10.3%が上限8%超
2026-07-20,6532,ベイカレント,リスク幅,リスク幅8.6%が上限8%超
2026-07-20,6617,東光高岳,リスク幅,リスク幅9.7%が上限8%超
2026-07-20,6814,古野電気,リスク幅,リスク幅9.1%が上限8%超
2026-07-20,6857,アドバンテスト,高ボラ除外,VI代理>30かつ前夜SOX非反発のため値がさ大型を新規候補から除外
2026-07-20,6920,レーザーテック,高ボラ除外,VI代理>30かつ前夜SOX非反発のため値がさ大型を新規候補から除外
2026-07-20,8035,東京エレクトロン,高ボラ除外,VI代理>30かつ前夜SOX非反発のため値がさ大型を新規候補から除外
2026-07-20,9984,ソフトバンクグループ,高ボラ除外,VI代理>30かつ前夜SOX非反発のため値がさ大型を新規候補から除外
2026-07-20,4819,デジタルガレージ,セクター分散,同一業種(情報・通信業)は2銘柄まで → 次点
2026-07-20,1909,日本ドライケミカル,TOB疑い,46営業日前に単日+21%の急騰後、変動率が平常時の19%に急低下(公開買付/M&A等で価格が固定されている疑い・要確認)
2026-07-20,285A,キオクシアホールディングス,価格上限,"株価52,110円が上限20,000円超(1単元521万円)"
2026-07-20,3480,ジェイ・エス・ビー,TOB疑い,直近20営業日の変動率が、それ以前60営業日の1%まで持続的に低下(単日ジャンプは観測窓内で未検出だが、MBO/TOB等で価格が固定されている疑い・要確認)
2026-07-20,4966,上村工業,価格上限,"株価23,000円が上限20,000円超(1単元230万円)"
2026-07-20,5344,ＭＡＲＵＷＡ,価格上限,"株価54,630円が上限20,000円超(1単元546万円)"
2026-07-20,5706,三井金属,価格上限,"株価29,980円が上限20,000円超(1単元300万円)"
2026-07-20,6146,ディスコ,価格上限,"株価64,780円が上限20,000円超(1単元648万円)"
2026-07-20,6273,ＳＭＣ,価格上限,"株価69,230円が上限20,000円超(1単元692万円)"
2026-07-20,6367,ダイキン工業,価格上限,"株価24,500円が上限20,000円超(1単元245万円)"
2026-07-20,6787,メイコー,価格上限,"株価22,630円が上限20,000円超(1単元226万円)"
2026-07-20,6806,ヒロセ電機,価格上限,"株価26,510円が上限20,000円超(1単元265万円)"
2026-07-20,6856,堀場製作所,価格上限,"株価25,495円が上限20,000円超(1単元255万円)"
2026-07-20,6857,アドバンテスト,価格上限,"株価27,505円が上限20,000円超(1単元275万円)"
2026-07-20,6861,キーエンス,価格上限,"株価70,880円が上限20,000円超(1単元709万円)"
2026-07-20,6920,レーザーテック,価格上限,"株価41,890円が上限20,000円超(1単元419万円)"
2026-07-20,8035,東京エレクトロン,価格上限,"株価65,100円が上限20,000円超(1単元651万円)"
2026-07-20,9435,光通信,価格上限,"株価36,950円が上限20,000円超(1単元370万円)"
2026-07-20,9983,ファーストリテイリング,価格上限,"株価78,840円が上限20,000円超(1単元788万円)"
2026-07-20,325A,ＴＥＮＴＩＡＬ,ゾーン不成立,リスク上限1.5ATRでゾーンが成立しない
2026-07-20,3994,マネーフォワード,ゾーン不成立,現値がすでにゾーン下端を下回る(構造が否定されつつある)
2026-07-20,4092,日本化学工業,ゾーン不成立,現値がすでにゾーン下端を下回る(構造が否定されつつある)
2026-07-20,6532,ベイカレント,ゾーン不成立,現値がすでにゾーン下端を下回る(構造が否定されつつある)
2026-07-20,7389,あいちフィナンシャルグループ,ゾーン不成立,現値がすでにゾーン下端を下回る(構造が否定されつつある)
2026-07-20,9001,東武鉄道,ゾーン不成立,リスク上限1.5ATRでゾーンが成立しない
2026-07-20,9984,ソフトバンクグループ,高ボラ除外,VI代理>30かつ前夜SOX非反発のため値がさ大型を除外
2026-07-20,4722,フューチャー,セクター分散,同一業種(情報・通信業)は2件まで
2026-07-20,1909,日本ドライケミカル,TOB疑い,46営業日前に単日+21%の急騰後、変動率が平常時の19%に急低下(公開買付/M&A等で価格が固定されている疑い・要確認)
2026-07-20,285A,キオクシアホールディングス,価格上限,"株価52,110円が上限20,000円超(1単元521万円)"
2026-07-20,3480,ジェイ・エス・ビー,TOB疑い,直近20営業日の変動率が、それ以前60営業日の1%まで持続的に低下(単日ジャンプは観測窓内で未検出だが、MBO/TOB等で価格が固定されている疑い・要確認)
2026-07-20,4966,上村工業,価格上限,"株価23,000円が上限20,000円超(1単元230万円)"
2026-07-20,5344,ＭＡＲＵＷＡ,価格上限,"株価54,630円が上限20,000円超(1単元546万円)"
2026-07-20,5706,三井金属,価格上限,"株価29,980円が上限20,000円超(1単元300万円)"
2026-07-20,6146,ディスコ,価格上限,"株価64,780円が上限20,000円超(1単元648万円)"
2026-07-20,6273,ＳＭＣ,価格上限,"株価69,230円が上限20,000円超(1単元692万円)"
2026-07-20,6367,ダイキン工業,価格上限,"株価24,500円が上限20,000円超(1単元245万円)"
2026-07-20,6787,メイコー,価格上限,"株価22,630円が上限20,000円超(1単元226万円)"
2026-07-20,6806,ヒロセ電機,価格上限,"株価26,510円が上限20,000円超(1単元265万円)"
2026-07-20,6856,堀場製作所,価格上限,"株価25,495円が上限20,000円超(1単元255万円)"
2026-07-20,6857,アドバンテスト,価格上限,"株価27,505円が上限20,000円超(1単元275万円)"
2026-07-20,6861,キーエンス,価格上限,"株価70,880円が上限20,000円超(1単元709万円)"
2026-07-20,6920,レーザーテック,価格上限,"株価41,890円が上限20,000円超(1単元419万円)"
2026-07-20,7741,ＨＯＹＡ,価格上限,"株価25,215円が上限20,000円超(1単元252万円)"
2026-07-20,8035,東京エレクトロン,価格上限,"株価65,100円が上限20,000円超(1単元651万円)"
2026-07-20,8283,ＰＡＬＴＡＣ,TOB疑い,47営業日前に単日+17%の急騰後、変動率が平常時の27%に急低下(公開買付/M&A等で価格が固定されている疑い・要確認)
2026-07-20,9435,光通信,価格上限,"株価36,950円が上限20,000円超(1単元370万円)"
2026-07-20,9983,ファーストリテイリング,価格上限,"株価78,840円が上限20,000円超(1単元788万円)"
2026-07-20,325A,ＴＥＮＴＩＡＬ,ゾーン不成立,リスク上限1.5ATRでゾーンが成立しない
2026-07-20,3994,マネーフォワード,ゾーン不成立,現値がすでにゾーン下端を下回る(構造が否定されつつある)
2026-07-20,4092,日本化学工業,ゾーン不成立,現値がすでにゾーン下端を下回る(構造が否定されつつある)
2026-07-20,6532,ベイカレント,ゾーン不成立,現値がすでにゾーン下端を下回る(構造が否定されつつある)
2026-07-20,7389,あいちフィナンシャルグループ,ゾーン不成立,現値がすでにゾーン下端を下回る(構造が否定されつつある)
2026-07-20,9001,東武鉄道,ゾーン不成立,リスク上限1.5ATRでゾーンが成立しない
2026-07-20,9984,ソフトバンクグループ,高ボラ除外,VI代理>30かつ前夜SOX非反発のため値がさ大型を除外
2026-07-20,4722,フューチャー,セクター分散,同一業種(情報・通信業)は2件まで
2026-07-21,1909,日本ドライケミカル,TOB疑い,46営業日前に単日+21%の急騰後、変動率が平常時の19%に急低下(公開買付/M&A等で価格が固定されている疑い・要確認)
2026-07-21,285A,キオクシアホールディングス,価格上限,"株価52,110円が上限20,000円超(1単元521万円)"
2026-07-21,3480,ジェイ・エス・ビー,TOB疑い,直近20営業日の変動率が、それ以前60営業日の1%まで持続的に低下(単日ジャンプは観測窓内で未検出だが、MBO/TOB等で価格が固定されている疑い・要確認)
2026-07-21,4966,上村工業,価格上限,"株価23,000円が上限20,000円超(1単元230万円)"
2026-07-21,5344,ＭＡＲＵＷＡ,価格上限,"株価54,630円が上限20,000円超(1単元546万円)"
2026-07-21,5706,三井金属,価格上限,"株価29,980円が上限20,000円超(1単元300万円)"
2026-07-21,6146,ディスコ,価格上限,"株価64,780円が上限20,000円超(1単元648万円)"
2026-07-21,6273,ＳＭＣ,価格上限,"株価69,230円が上限20,000円超(1単元692万円)"
2026-07-21,6367,ダイキン工業,価格上限,"株価24,500円が上限20,000円超(1単元245万円)"
2026-07-21,6856,堀場製作所,価格上限,"株価25,495円が上限20,000円超(1単元255万円)"
2026-07-21,6861,キーエンス,価格上限,"株価70,880円が上限20,000円超(1単元709万円)"
2026-07-21,6920,レーザーテック,価格上限,"株価41,890円が上限20,000円超(1単元419万円)"
2026-07-21,8035,東京エレクトロン,価格上限,"株価65,100円が上限20,000円超(1単元651万円)"
2026-07-21,8283,ＰＡＬＴＡＣ,TOB疑い,47営業日前に単日+17%の急騰後、変動率が平常時の27%に急低下(公開買付/M&A等で価格が固定されている疑い・要確認)
2026-07-21,9983,ファーストリテイリング,価格上限,"株価78,840円が上限20,000円超(1単元788万円)"
2026-07-21,325A,ＴＥＮＴＩＡＬ,ゾーン不成立,リスク上限1.5ATRでゾーンが成立しない
2026-07-21,3994,マネーフォワード,ゾーン不成立,現値がすでにゾーン下端を下回る(構造が否定されつつある)
2026-07-21,4092,日本化学工業,ゾーン不成立,現値がすでにゾーン下端を下回る(構造が否定されつつある)
2026-07-21,9984,ソフトバンクグループ,高ボラ除外,VI代理>30かつ前夜SOX非反発のため値がさ大型を除外
2026-07-21,4722,フューチャー,セクター分散,同一業種(情報・通信業)は2件まで
2026-07-21,1909,日本ドライケミカル,TOB疑い,46営業日前に単日+21%の急騰後、変動率が平常時の19%に急低下(公開買付/M&A等で価格が固定されている疑い・要確認)
2026-07-21,285A,キオクシアホールディングス,価格上限,"株価52,110円が上限20,000円超(1単元521万円)"
2026-07-21,3480,ジェイ・エス・ビー,TOB疑い,直近20営業日の変動率が、それ以前60営業日の1%まで持続的に低下(単日ジャンプは観測窓内で未検出だが、MBO/TOB等で価格が固定されている疑い・要確認)
2026-07-21,4966,上村工業,価格上限,"株価23,000円が上限20,000円超(1単元230万円)"
2026-07-21,5344,ＭＡＲＵＷＡ,価格上限,"株価54,630円が上限20,000円超(1単元546万円)"
2026-07-21,5706,三井金属,価格上限,"株価29,980円が上限20,000円超(1単元300万円)"
2026-07-21,6146,ディスコ,価格上限,"株価64,780円が上限20,000円超(1単元648万円)"
2026-07-21,6273,ＳＭＣ,価格上限,"株価69,230円が上限20,000円超(1単元692万円)"
2026-07-21,6367,ダイキン工業,価格上限,"株価24,500円が上限20,000円超(1単元245万円)"
2026-07-21,6787,メイコー,価格上限,"株価22,630円が上限20,000円超(1単元226万円)"
2026-07-21,6806,ヒロセ電機,価格上限,"株価26,510円が上限20,000円超(1単元265万円)"
2026-07-21,6856,堀場製作所,価格上限,"株価25,495円が上限20,000円超(1単元255万円)"
2026-07-21,6857,アドバンテスト,価格上限,"株価27,505円が上限20,000円超(1単元275万円)"
2026-07-21,6861,キーエンス,価格上限,"株価70,880円が上限20,000円超(1単元709万円)"
2026-07-21,6920,レーザーテック,価格上限,"株価41,890円が上限20,000円超(1単元419万円)"
2026-07-21,7741,ＨＯＹＡ,価格上限,"株価25,215円が上限20,000円超(1単元252万円)"
2026-07-21,8035,東京エレクトロン,価格上限,"株価65,100円が上限20,000円超(1単元651万円)"
2026-07-21,8283,ＰＡＬＴＡＣ,TOB疑い,47営業日前に単日+17%の急騰後、変動率が平常時の27%に急低下(公開買付/M&A等で価格が固定されている疑い・要確認)
2026-07-21,9435,光通信,価格上限,"株価36,950円が上限20,000円超(1単元370万円)"
2026-07-21,9983,ファーストリテイリング,価格上限,"株価78,840円が上限20,000円超(1単元788万円)"
2026-07-21,325A,ＴＥＮＴＩＡＬ,ゾーン不成立,リスク上限1.5ATRでゾーンが成立しない
2026-07-21,3994,マネーフォワード,ゾーン不成立,現値がすでにゾーン下端を下回る(構造が否定されつつある)
2026-07-21,4092,日本化学工業,ゾーン不成立,現値がすでにゾーン下端を下回る(構造が否定されつつある)
2026-07-21,6532,ベイカレント,ゾーン不成立,現値がすでにゾーン下端を下回る(構造が否定されつつある)
2026-07-21,7389,あいちフィナンシャルグループ,ゾーン不成立,現値がすでにゾーン下端を下回る(構造が否定されつつある)
2026-07-21,9001,東武鉄道,ゾーン不成立,リスク上限1.5ATRでゾーンが成立しない
2026-07-21,9984,ソフトバンクグループ,高ボラ除外,VI代理>30かつ前夜SOX非反発のため値がさ大型を除外
2026-07-21,4722,フューチャー,セクター分散,同一業種(情報・通信業)は2件まで
2026-07-21,1909,日本ドライケミカル,TOB疑い,47営業日前に単日+21%の急騰後、変動率が平常時の19%に急低下(公開買付/M&A等で価格が固定されている疑い・要確認)
2026-07-21,2371,カカクコム,TOB疑い,直近20営業日の変動率が、それ以前60営業日の25%まで持続的に低下(単日ジャンプは観測窓内で未検出だが、MBO/TOB等で価格が固定されている疑い・要確認)
2026-07-21,285A,キオクシアホールディングス,価格上限,"株価60,520円が上限20,000円超(1単元605万円)"
2026-07-21,3480,ジェイ・エス・ビー,TOB疑い,直近20営業日の変動率が、それ以前60営業日の1%まで持続的に低下(単日ジャンプは観測窓内で未検出だが、MBO/TOB等で価格が固定されている疑い・要確認)
2026-07-21,4966,上村工業,価格上限,"株価24,060円が上限20,000円超(1単元241万円)"
2026-07-21,5202,日本板硝子,TOB疑い,80営業日前に単日+18%の急騰後、変動率が平常時の13%に急低下(公開買付/M&A等で価格が固定されている疑い・要確認)
2026-07-21,5344,ＭＡＲＵＷＡ,価格上限,"株価56,440円が上限20,000円超(1単元564万円)"
2026-07-21,5706,三井金属,価格上限,"株価30,850円が上限20,000円超(1単元308万円)"
2026-07-21,6273,ＳＭＣ,価格上限,"株価70,170円が上限20,000円超(1単元702万円)"
2026-07-21,6367,ダイキン工業,価格上限,"株価24,535円が上限20,000円超(1単元245万円)"
2026-07-21,6787,メイコー,価格上限,"株価23,400円が上限20,000円超(1単元234万円)"
2026-07-21,6806,ヒロセ電機,価格上限,"株価26,910円が上限20,000円超(1単元269万円)"
2026-07-21,6856,堀場製作所,価格上限,"株価26,795円が上限20,000円超(1単元268万円)"
2026-07-21,6857,アドバンテスト,価格上限,"株価29,565円が上限20,000円超(1単元296万円)"
2026-07-21,6861,キーエンス,価格上限,"株価72,290円が上限20,000円超(1単元723万円)"
2026-07-21,6920,レーザーテック,価格上限,"株価42,100円が上限20,000円超(1単元421万円)"
2026-07-21,9435,光通信,価格上限,"株価37,600円が上限20,000円超(1単元376万円)"
2026-07-21,9983,ファーストリテイリング,価格上限,"株価80,110円が上限20,000円超(1単元801万円)"
2026-07-21,9984,ソフトバンクグループ,高ボラ除外,VI代理>30かつ前夜SOX非反発のため値がさ大型を除外
2026-07-21,3697,ＳＨＩＦＴ,相関集中,同一ギャップ日(2026-07-17)は2件まで
2026-07-21,1909,日本ドライケミカル,TOB疑い,47営業日前に単日+21%の急騰後、変動率が平常時の19%に急低下(公開買付/M&A等で価格が固定されている疑い・要確認)
2026-07-21,2371,カカクコム,TOB疑い,直近20営業日の変動率が、それ以前60営業日の25%まで持続的に低下(単日ジャンプは観測窓内で未検出だが、MBO/TOB等で価格が固定されている疑い・要確認)
2026-07-21,285A,キオクシアホールディングス,価格上限,"株価61,060円が上限20,000円超(1単元611万円)"
2026-07-21,3480,ジェイ・エス・ビー,TOB疑い,直近20営業日の変動率が、それ以前60営業日の2%まで持続的に低下(単日ジャンプは観測窓内で未検出だが、MBO/TOB等で価格が固定されている疑い・要確認)
2026-07-21,4966,上村工業,価格上限,"株価23,980円が上限20,000円超(1単元240万円)"
